transaction_id,transaction_date,customer_id,product_name,quantity,price,payment_method,transaction_status,is_outlier,total_amount
T0011,2023-13-01,C1004,laptop,10.0,600.8393093751704,paypal,completed,False,6008.393093751703
T0018,2025-02-30,C847,coffee machine,7.0,108.43782406112234,credit card,completed,False,759.0647684278564
T0028,2025-02-30,C3025,smartphone,7.0,797.34,paypal,completed,False,5581.38
T0034,2025-02-30,C1406,coffee machine,3.0,120.68099580920124,credit card,completed,False,362.0429874276037
T0036,2023-13-01,C292,laptop,2.0,596.4257637659894,paypal,completed,False,1192.8515275319787
T0061,2023-13-01,C3123,headphones,6.0,692.6956884654846,credit card,completed,False,4156.174130792908
T0075,2025-02-30,C3892,laptop,6.0,310.0117870605701,paypal,pending,False,1860.0707223634206
T0079,2025-02-30,C4545,laptop,10.0,523.9728550305827,paypal,pending,False,5239.7285503058265
T0081,2023-02-28,C3687,smartphone,8.0,845.0306396233873,paypal,completed,False,6760.245116987098
T0083,2023-13-01,C2616,tablet,7.0,447.1746873942077,paypal,completed,False,3130.222811759454
T0084,2023-13-01,C722,tablet,4.0,811.1940409467047,paypal,failed,False,3244.776163786819
T0088,2025-02-30,C4004,headphones,9.0,380.99749854004233,paypal,completed,False,3428.977486860381
T0095,2025-02-30,C529,laptop,2.0,149.55165829110524,credit card,pending,False,299.1033165822105
T0123,2023-13-01,C2203,headphones,3.0,869.7954960216659,credit card,unknown,False,2609.386488064998
T0131,2025-02-30,C2556,laptop,1.0,177.14,credit card,completed,False,177.14
T0143,2022-06-28,C3555,smartphone,3.0,625.381192727248,credit card,completed,False,1876.143578181744
T0144,2020-02-03,C4891,coffee machine,8.0,375.97285452626176,paypal,completed,False,3007.782836210094
T0150,2025-02-30,C3843,coffee machine,7.0,497.4078791781518,paypal,completed,False,3481.8551542470627
T0154,2022-01-13,C3826,smartphone,3.0,218.2141312027652,paypal,unknown,False,654.6423936082956
T0163,2021-08-11,C666,smartphone,8.0,455.46,credit card,unknown,False,3643.68
T0170,2023-13-01,C872,tablet,10.0,921.4923647726245,paypal,pending,False,9214.923647726244
T0184,2023-13-01,C3954,headphones,4.0,501.18,credit card,completed,False,2004.72
T0189,2022-08-19,C047,smartphone,10.0,252.64176119515056,paypal,completed,False,2526.4176119515055
T0200,2025-02-30,C1561,laptop,9.0,428.3331931740419,paypal,completed,False,3854.998738566377
T0213,2025-02-30,C2547,headphones,7.0,415.79673722840334,credit card,completed,False,2910.5771605988234
T0225,2023-04-18,C298,tablet,10.0,282.0102882048541,paypal,failed,False,2820.102882048541
T0229,2023-13-01,C665,smartphone,5.0,643.4923070340809,paypal,unknown,False,3217.4615351704047
T0246,2025-02-30,C3759,headphones,1.0,641.5138399481423,credit card,completed,False,641.5138399481423
T0259,2025-02-30,C3240,smartphone,3.0,349.61333461000686,credit card,pending,False,1048.8400038300206
T0265,2023-13-01,C2978,tablet,1.0,167.7074453290045,paypal,completed,False,167.7074453290045
T0266,2023-13-01,C1796,headphones,3.0,900.3890031564791,cash,failed,False,2701.1670094694373
T0268,2023-12-01,C2381,laptop,7.0,617.8889335532153,paypal,failed,False,4325.222534872508
T0274,2023-02-08,C2934,coffee machine,8.0,58.90413474001046,paypal,failed,False,471.2330779200837
T0279,2023-13-01,C294,tablet,7.0,68.68419953659067,credit card,pending,False,480.7893967561347
T0294,2023-07-24,C1719,laptop,3.0,581.8841170252601,credit card,completed,False,1745.6523510757804
T0304,2022-04-12,C1803,laptop,5.0,140.6198774288747,paypal,completed,False,703.0993871443735
T0308,2023-13-01,C4265,tablet,9.0,488.85674886553903,credit card,failed,False,4399.710739789852
T0314,2023-13-01,C3587,headphones,4.0,221.08937963114784,cash,pending,False,884.3575185245913
T0315,2023-13-01,C842,tablet,4.0,421.9271102716973,credit card,completed,False,1687.7084410867892
T0316,2025-02-30,C4410,headphones,10.0,496.1191465097217,credit card,completed,False,4961.191465097217
T0326,2025-02-30,C4321,laptop,2.0,488.3079456112222,paypal,completed,False,976.6158912224444
T0330,2025-02-30,C4439,coffee machine,8.0,219.5511312032752,paypal,failed,False,1756.4090496262015
T0335,2025-02-30,C4468,headphones,10.0,747.5720153457081,credit card,completed,False,7475.720153457081
T0341,2023-13-01,C2312,headphones,1.0,894.1726126748041,paypal,failed,False,894.1726126748041
T0355,2021-04-26,C1559,tablet,5.0,742.8986999123656,paypal,failed,False,3714.493499561828
T0398,2025-02-30,C1737,tablet,9.0,911.54,cash,completed,False,8203.86
T0411,2021-08-20,C842,laptop,2.0,398.5156160262819,credit card,unknown,False,797.0312320525638
T0414,2023-13-01,C424,laptop,4.0,649.5781792142229,credit card,unknown,False,2598.3127168568917
T0429,2023-13-01,C3847,tablet,6.0,298.413361872015,credit card,failed,False,1790.48017123209
T0443,2022-09-20,C1659,coffee machine,3.0,158.6013602889866,cash,completed,False,475.8040808669598
T0445,2023-13-01,C2279,tablet,9.0,924.4329532587976,cash,pending,False,8319.896579329179
T0448,2024-01-12,C4227,headphones,1.0,828.7889066621897,credit card,unknown,False,828.7889066621897
T0452,2023-13-01,C1047,coffee machine,5.0,55.56,credit card,completed,False,277.8
T0453,2025-02-30,C3641,headphones,1.0,960.582594597936,paypal,failed,False,960.582594597936
T0460,2023-13-01,C3169,coffee machine,10.0,272.7625764048173,paypal,failed,False,2727.625764048173
T0462,2025-02-30,C762,headphones,4.0,219.88642645668548,credit card,failed,False,879.5457058267419
T0464,2021-06-07,C1343,headphones,3.0,644.4471848103135,credit card,unknown,False,1933.3415544309405
T0475,2020-08-27,C3914,tablet,3.0,73.30939822921115,paypal,completed,False,219.92819468763346
T0488,2023-13-01,C4096,tablet,7.0,256.3903441547316,paypal,pending,False,1794.7324090831214
T0492,2023-13-01,C3936,smartphone,6.0,814.0170810435875,paypal,completed,False,4884.102486261525
T0501,2023-13-01,C2874,headphones,8.0,621.6145586982357,credit card,unknown,False,4972.916469585885
T0529,2023-13-01,C965,laptop,9.0,914.2270861900128,cash,completed,False,8228.043775710115
T0530,2023-13-01,C2610,headphones,10.0,869.6833338939041,cash,completed,False,8696.833338939041
T0532,2024-06-21,C979,smartphone,8.0,163.11752758515232,paypal,unknown,False,1304.9402206812185
T0537,2023-13-01,C1270,headphones,1.0,997.81,credit card,completed,False,997.81
T0544,2025-02-30,C4373,smartphone,2.0,51.99225649335324,paypal,completed,False,103.98451298670648
T0547,2023-13-01,C1632,headphones,1.0,265.0682270216897,cash,completed,False,265.0682270216897
T0548,2025-02-30,C3568,tablet,7.0,421.9975180805401,cash,failed,False,2953.9826265637807
T0549,2025-02-30,C2452,smartphone,10.0,165.35,credit card,unknown,False,1653.5
T0572,2023-13-01,C2175,smartphone,5.0,297.41366401965035,paypal,completed,False,1487.0683200982517
T0574,2023-13-01,C672,laptop,3.0,918.3616398946692,credit card,failed,False,2755.0849196840077
T0587,2020-03-21,C4690,headphones,5.0,758.22221988884,credit card,failed,False,3791.1110994441997
T0588,2020-11-03,C584,tablet,3.0,980.8473934909644,credit card,completed,False,2942.542180472893
T0601,2020-07-24,C4698,tablet,3.0,436.73177969707297,cash,unknown,False,1310.195339091219
T0610,2023-13-01,C4186,smartphone,5.0,776.506749314819,paypal,completed,False,3882.533746574095
T0615,2025-02-30,C650,smartphone,3.0,942.1426892592054,credit card,failed,False,2826.4280677776164
T0618,2023-13-01,C1037,coffee machine,10.0,351.9170463147849,paypal,unknown,False,3519.1704631478487
T0624,2025-02-30,C1362,laptop,6.0,876.5311976224629,paypal,completed,False,5259.187185734777
T0630,2025-02-30,C530,laptop,6.0,220.00658194325703,paypal,completed,False,1320.0394916595421
T0638,2024-07-19,C3044,tablet,4.0,464.5194808520282,paypal,completed,False,1858.0779234081128
T37318,2021-05-07,C2292,laptop,6.0,240.63500671230716,cash,completed,False,1443.810040273843
